N__DO_CONT,ANO,N__PROCESS,ETE,MUNICOPIO,UF,PRESTADOR,BACIA,COMIT,CORPO_RECE
1,2001,02501.000677/2001-11,ETE Aterrado,Vota Redonda,RJ,SAAE - Volta Redonda,Rio Paraíba do Sul,CEIVAP,Rio Paraíba do Sul
2,2001,02501.000676/2001-77,ETE Santa M6nica,Campinas,SP,SANASA - Campinas,Rio Piracicaba,CBH PCJ,Córrego da Lagoa
3,2001,02501.000713/2001-47,ETE Jardim das Flores (1a. etapa),Rio Claro,SP,DAAE - Rio Claro,Rio Piracicaba,CBH PCJ,Rio Corumbataí
4,2001,02501.000766/2001-68,ETE Ribeir6o dos Toledos (1a. etapa),Santa Barbara D Oeste,SP,DAE - Santa B rbara d Oeste,Rio Piracicaba,CBH PCJ,Ribeirão dos Toledos
5,2001,02501.000695/2001-01,ETE Capuava,Valinhos,SP,DAEV - Valinhos,Rio Piracicaba,CBH PCJ,Ribeirão Pinheiros
6,2001,02501.000850-2001-81,ETE Pinheirinho,Vinhedo,SP,SANEBAVI,Rio Piracicaba,CBH PCJ,Córrego Pinheirinho
7,2001,02501.001002/2001-90,ETE Moreira C2sar (ampliateo),Pindamonhangaba,SP,SABESP,Rio Paraíba do Sul,CEIVAP,Rio Paraíba do Sul
8,2001,02501.001001/2001-45,ETE Araretama,Pindamonhangaba,SP,SABESP,Rio Paraíba do Sul,CEIVAP,Rio Una
9,2001,02501.000807/2001-16,ETE Sorocaba I,Sorocaba,SP,SAAE - Sorocaba,Médio Tietê,CBH Sorocaba/Médio Tietê,Rio Sorocaba
10,2001,02501.001000/2001-09,ETE Itatiba,Itatiba,SP,SABESP,Rio Piracicaba,CBH PCJ,Ribeirão Jacarezinho
11,2001,02501.000999/2001-61,ETE Lavap9s (amplia1,STo José dos Campos,SP,SABESP,Rio Para ba do Sul,CEIVAP,Ribeirão
12,2001,02501.000998/2001-16,ETE Hortol9ndia,Hortolrndia,SP,SABESP,Rio Piracicaba,CBH PCJ,Córrego Quilombo
13,2001,02501.000810/2002-11,ETE Piracicamirim (ampliateo),Piracicaba,SP,SEMAE - Piracicaba,Rio Piracicaba,CBH PCJ,Ribeirão Piracicamirim
14,2001,02501.000987/2001-36,ETE CIC/Xisto,Curitiba,PR,SANEPAR,Rio Igua,CBH Alto Igua,Rio Barigui
15,2001,02501.000996/2001-27,ETE São Luiz do Paraitinga,São Luiz do Paraitinga,SP,SABESP,Rio Para ba do Sul,CEIVAP,Rio Paraitinga
16,2001,02501.000989/2001-25,ETE Tamandaré/,Almirante Tamandar2,PR,SANEPAR,Rio Barigui i,CBH Alto Iguaçu/Alto Ribeirão,Rio Barigui
17,2001,02501.000811/2002-65,ETE Padilha Sul,Curitiba,PR,SANEPAR,Rio Igua,CBH Alto Iguaçu/Alto Ribeirão,Ribeirão dos Padilhas
31,2002,02501.001120/2002-89,ETE Jardim Elisa,Capivari,SP,SAAE - Capivari,Rio Capivari,CBH PCJ,Rio Capivari
32,2002,02501.000684/2002-02,ETE Barbosa Lage,Juiz de Fora,MG,CESAMA - Juiz de Fora,Rio Para ba do Sul,CEIVAP,Rio Paraibuna
33,2002,02501.000905/2002-34,ETE Balsa,Santa Barbara D Oeste,SP,DAE - Santa B rbara d Oeste,Rio Piracicaba,CBH PCJ,Rio Piracicaba
34,2002,02501.000969/2002-35,ETE Sousas,Campinas,SP,SANASA - Campinas,Rio Piracicaba,CBH PCJ,Rio Atibaia
35,2002,02501.000906/2002-89,ETE Praia Azul,Americana,SP,DAE - Americana,Rio Piracicaba,CBH PCJ,Rio Atibaia
36,2002,02501.000970/2002-60,ETE Pi0arr7o,Campinas,SP,SANASA - Campinas,Rio Capivari,CBH PCJ,Rio Capivari
